nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_455	   139.449092735	    62.040333238	   135.971671739
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_455	   146.141432411	    60.635735431	   248.963092921
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_585	   994.632947130	    97.260689401	     0.728593263
nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_520	  1055.992173155	    84.132548105	     4.143577234
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_49	  1232.191467310	    86.253531646	     3.372510762
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_520	  1738.248597753	   101.354349024	     4.192510879
nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_585	  1279.849859415	   104.221522511	     0.728608942
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_585	  2296.797292891	    91.665608984	     0.691962728
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_98	  1125.238081453	    91.053669698	     3.789893269
nl_bookIII_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0	   710.820051601	    82.936992118	     4.072347160	 5
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_147	   795.256359042	    88.589714503	     5.795130283
nl_bookIII_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0	   624.527492937	    80.478373170	     4.070784052	 5
nl_bookIII_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0	  1089.494960103	    89.858866292	     3.715937466	 5
nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0	   696.117584427	    82.343514061	     2.335297356
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_196	   616.807386962	    83.341916582	    10.859675369
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0	  1078.801744378	    90.226014622	     4.053810725
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0	   550.101288574	    79.939565109	     2.335597653
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_245	   782.422013413	    84.003689796	     8.004799293
nl_cereal_s3	 fc	 ssim	 c8	 1	 fccw0C1_ssim50r30i4u_c8_0_init_49	   655.266738961	    82.659700140	     2.583475492
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_294	   659.281668572	    87.823146151	     6.949759665
nl_cereal_s3	 fc	 ssim	 6	 1	 fccw1C1_ssim50r30i4u_6_0_init_49	  1195.079162250	    96.247634394	     4.274415038
nl_cereal_s3	 fc	 ssim	 sl3	 1	 fccw1C1_ssim50r30i4u_sl3_0_init_49	   535.412519979	    79.225579151	     2.583824799
nl_cereal_s3	 fc	 ssim	 4	 1	 fccw1C1_ssim50r30i4u_4_0_init_343	  1621.396287537	    95.593154423	     3.923194335
