nl_mugII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   334.656810806	    95.859673654	     7.412881292	 3
nl_mugI_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   203.567689634	    82.613285943	     2.064576455	 0
nl_mugIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0	   356.744342789	   102.363247221	     6.509561380
nl_mugII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0	   191.562611957	    77.233986528	    92.088076390
nl_mugII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_32	   200.355493668	    82.470991928	    31.666685296
nl_mugIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_63	   342.461049955	    97.997968203	    25.879756780
nl_mugII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_64	   217.948876849	    88.252710534	   116.162782397
nl_mugII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_96	   190.285872289	    81.446202440	    51.010226678
nl_mugIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_126	   365.059370379	   107.926403970	    49.324815431
nl_mugII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_128	   208.702366468	    87.926035815	    66.669298919
nl_bookI_s3	 nnk	 mi	 8	 1	 nn5kmn400s78s77s76s75s74_mi24b50r30i4u_8_0_init_106	     7.488569469	     7.095431547	    93.394532443
nl_mugII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_160	   209.326336481	    85.000157527	     5.738551339
nl_mugIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_189	   367.477224151	   107.573576136	    25.038628921
nl_mugII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_192	   234.419728625	    95.895618592	     9.004928007
nl_mugIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_252	   408.954797479	   116.385893714	    15.177422179
nl_mugII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_224	   213.721759088	    87.758206319	    12.898941084
nl_mugIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_315	   369.418640322	   103.638699561	    48.040096867
nl_mugII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_256	   185.968151026	    71.370131639	     2.077886105
nl_mugII_s3	 nnk	 ssim	 8	 1	 nn5kmn400s78s77s76s75s74_ssim50r1i4u_8_0_init_288	   175.469930075	    70.949006200	     1.093574094
nl_mugIII_s3	 nnk	 zncc	 8	 1	 nn5kmn400s78s77s76s75s74_zncc50r1i4u_8_0_init_378	   359.863165716	   107.103076192	     3.117212234
