nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_35	  1263.712378116	   130.788429550	    97.882645075
nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_70	   678.687453923	   119.967839199	    35.087997345
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_459	   850.176621504	   122.732025521	     4.107602090
nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_105	   722.349417855	   121.916877991	   172.084044451
nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_140	   693.451003949	   106.820916824	    23.194327880
nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_175	   675.789461337	   121.620510780	    40.423667080
nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_210	   697.782851243	   122.615481440	     7.975857015
nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_245	   627.510310728	   119.109119977	    17.190965878
nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_280	   682.250672879	   104.609897143	     6.584850183
nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0_init_315	   667.265479435	   122.078244054	     8.606320953
nl_juice_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	   777.603831362	   108.488873125	     6.709938194	 5
nl_bookI_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   663.190339504	   115.534056064	     6.502627380	 4
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0	  1007.083252902	   119.934242795	    49.871719940
nl_bookII_s4	 fgnn	 ssd	 8	 1	 fgnnkdt2k2s_ssd50r1i4u_8_0	   745.784491634	   124.775784650	     6.619214911
nl_mugI_s3	 gnn	 ssd	 8	 1	 gnn2k2s_ssd50r1i4u_8_0_init_38	   771.998308396	   108.655264001	     2.149018948
